Year,Species Name,Port Area,Pounds,Value
1980,"Rockfish, gopher",MORRO BAY,"54,035","$ 46,747.00 "
1980,"Surfperch, shiner",MORRO BAY,Confidential,Confidential
1980,"Shrimp, unspecified",MONTEREY,Confidential,Confidential
1980,"Prawn, spot",MORRO BAY,"54,706","$ 125,023.00 "
1980,"Sole, petrale",FORT BRAGG,"469,625","$ 205,782.00 "
1980,"Lizardfish, California",LOS ANGELES,Confidential,Confidential
1980,Lingcod,MORRO BAY,"301,175","$ 61,604.00 "
1980,"Rockfish, copper",BODEGA BAY,Confidential,Confidential
1980,"Abalone, black",MORRO BAY,Confidential,Confidential
1980,Sablefish,MONTEREY,"1,694,074","$ 314,351.00 "
1980,"Tuna, unspecified",SAN DIEGO,"84,206","$ 54,678.00 "
1980,"Rockfish, bocaccio",SAN DIEGO,Confidential,Confidential
1980,"Clam, common littleneck",EUREKA,Confidential,Confidential
1980,"Sole, Dover",MORRO BAY,"123,464","$ 72,768.00 "
1980,"Salmon, coho",BODEGA BAY,"10,057","$ 17,506.00 "
1980,"Anchovy, northern",SAN FRANCISCO,Confidential,Confidential
1980,Sanddab,FORT BRAGG,"54,521","$ 18,014.00 "
1980,"Shark, spiny dogfish",SAN DIEGO,Confidential,Confidential
1980,"Shark, spiny dogfish",EUREKA,Confidential,Confidential
1980,Salmon,BODEGA BAY,813,$ 799.00 
1980,"Rockfish, black",BODEGA BAY,Confidential,Confidential
1980,Abalone,LOS ANGELES,Confidential,Confidential
1980,"Surfperch, unspecified",SAN FRANCISCO,"26,938","$ 26,568.00 "
1980,Halfmoon,LOS ANGELES,"1,733","$ 1,260.00 "
1980,"Prawn, spot",SAN FRANCISCO,Confidential,Confidential
1980,"Abalone, red",SAN DIEGO,"10,566","$ 20,505.00 "
1980,Jacksmelt,MONTEREY,"5,132",$ 491.00 
1980,"Halibut, California",MORRO BAY,"121,197","$ 186,557.00 "
1980,"Rockfish, chilipepper",LOS ANGELES,Confidential,Confidential
1980,"Shark, bigeye thresher",BODEGA BAY,Confidential,Confidential
1980,"Smelt, night",FORT BRAGG,Confidential,Confidential
1980,"Tuna, skipjack, black",SAN DIEGO,Confidential,Confidential
1980,Yellowtail,SAN FRANCISCO,Confidential,Confidential
1980,"Shark, thresher",SANTA BARBARA,"267,587","$ 177,290.00 "
1980,"Sole, unspecified",SANTA BARBARA,"9,580","$ 3,142.00 "
1980,"Surfperch, unspecified",EUREKA,Confidential,Confidential
1980,"Abalone, threaded",MORRO BAY,Confidential,Confidential
1980,"Eel, wolf (wolf-eel)",MORRO BAY,Confidential,Confidential
1980,"Prawn, ridgeback",SANTA BARBARA,"281,639","$ 198,803.00 "
1980,Stingray,EUREKA,Confidential,Confidential
1980,"Herring, Pacific",LOS ANGELES,Confidential,Confidential
1980,"Fish, unspecified",MONTEREY,"11,596","$ 2,234.00 "
1980,"Smelt, whitebait",MONTEREY,"12,046","$ 4,469.00 "
1980,"Flounder, starry",SAN FRANCISCO,Confidential,Confidential
1980,"Mackerel, Pacific",FORT BRAGG,Confidential,Confidential
1980,"Salmon, coho",SACRAMENTO DELTA,Confidential,Confidential
1980,"Bass, rock",SAN DIEGO,Confidential,Confidential
1980,"Rockfish, splitnose",MONTEREY,"51,332","$ 8,410.00 "
